Local,GolesLocal,GolesVisitante,Visitante
Benfica,0,1,Man. United
Benfica,0,2,fussballclub basilea
Benfica,1,2,pfc cska moscu
Man. United,0,1,Benfica
Man. United,0,2,fussballclub basilea
Man. United,1,2,pfc cska moscu
fussballclub basilea,0,1,Benfica
fussballclub basilea,0,2,Man. United
fussballclub basilea,1,2,pfc cska moscu
pfc cska moscu,0,1,Benfica
pfc cska moscu,0,2,Man. United
pfc cska moscu,1,2,fussballclub basilea
Bayern,3,1,Paris
Bayern,3,0,anderlecht
Bayern,3,0,celtic football club
Paris,3,1,Bayern
Paris,3,0,anderlecht
Paris,3,0,celtic football club
anderlecht,3,1,Bayern
anderlecht,3,0,Paris
anderlecht,3,0,celtic football club
celtic football club,3,1,Bayern
celtic football club,3,0,Paris
celtic football club,3,0,anderlecht
Chelsea,1,1,Atletico
Chelsea,3,3,as roma
Chelsea,6,0,fk qarabağ agdam
Atletico,1,1,Chelsea
Atletico,3,3,as roma
Atletico,6,0,fk qarabağ agdam
as roma,1,1,Chelsea
as roma,3,3,Atletico
as roma,6,0,fk qarabağ agdam
fk qarabağ agdam,1,1,Chelsea
fk qarabağ agdam,3,3,Atletico
fk qarabağ agdam,6,0,as roma
Juventus,0,0,Barcelona
Juventus,2,0,olympiacos
Juventus,2,1,Sporting CP
Barcelona,0,0,Juventus
Barcelona,2,0,olympiacos
Barcelona,2,1,Sporting CP
olympiacos,0,0,Juventus
olympiacos,2,0,Barcelona
olympiacos,2,1,Sporting CP
Sporting CP,0,0,Juventus
Sporting CP,2,0,Barcelona
Sporting CP,2,1,olympiacos
fc spartak de moscu,5,1,Sevilla
fc spartak de moscu,1,1,Liverpool
fc spartak de moscu,1,1,nk maribor
Sevilla,5,1,fc spartak de moscu
Sevilla,1,1,Liverpool
Sevilla,1,1,nk maribor
Liverpool,5,1,fc spartak de moscu
Liverpool,1,1,Sevilla
Liverpool,1,1,nk maribor
nk maribor,5,1,fc spartak de moscu
nk maribor,1,1,Sevilla
nk maribor,1,1,Liverpool
Shakhtar Donetsk,2,1,Man. City
Shakhtar Donetsk,2,1,napoli
Shakhtar Donetsk,3,1,feyenoord rotterdam
Man. City,2,1,Shakhtar Donetsk
Man. City,2,1,napoli
Man. City,3,1,feyenoord rotterdam
napoli,2,1,Shakhtar Donetsk
napoli,2,1,Man. City
napoli,3,1,feyenoord rotterdam
feyenoord rotterdam,2,1,Shakhtar Donetsk
feyenoord rotterdam,2,1,Man. City
feyenoord rotterdam,3,1,napoli
monaco,0,3,Porto
monaco,1,2,Besiktas
monaco,1,4,Leipzig
Porto,0,3,monaco
Porto,1,2,Besiktas
Porto,1,4,Leipzig
Besiktas,0,3,monaco
Besiktas,1,2,Porto
Besiktas,1,4,Leipzig
Leipzig,0,3,monaco
Leipzig,1,2,Porto
Leipzig,1,4,Besiktas
Real Madrid,3,2,Dortmund
Real Madrid,1,1,tottenham hotspur
Real Madrid,3,0,apoel
Dortmund,3,2,Real Madrid
Dortmund,1,1,tottenham hotspur
Dortmund,3,0,apoel
tottenham hotspur,3,2,Real Madrid
tottenham hotspur,1,1,Dortmund
tottenham hotspur,3,0,apoel
apoel,3,2,Real Madrid
apoel,1,1,Dortmund
apoel,3,0,tottenham hotspur
