Local,GolesLocal,GolesVisitante,Visitante
Wolfsburg,1,0,Bochum
Hertha BSC,1,2,Wolfsburg
Wolfsburg,1,0,Leipzig
Greuther Fürth,0,2,Wolfsburg
Wolfsburg,1,1,Eint Frankfurt
Hoffenheim,3,1,Wolfsburg
Wolfsburg,1,3,M'Gladbach
Union Berlin,2,0,Wolfsburg
Wolfsburg,0,2,Freiburg
Leverkusen,0,2,Wolfsburg
Wolfsburg,1,0,Augsburg
Arminia,2,2,Wolfsburg
Wolfsburg,1,3,Dortmund
Mainz 05,3,0,Wolfsburg
Wolfsburg,0,2,Stuttgart
Wolfsburg,2,3,Köln
Bayern,4,0,Wolfsburg
Bochum,1,0,Wolfsburg
Wolfsburg,0,0,Hertha BSC
Leipzig,2,0,Wolfsburg
Wolfsburg,4,1,Greuther Fürth
Eint Frankfurt,0,2,Wolfsburg
Wolfsburg,1,2,Hoffenheim
M'Gladbach,2,2,Wolfsburg
Wolfsburg,1,0,Union Berlin
Freiburg,3,2,Wolfsburg
Wolfsburg,0,2,Leverkusen
Augsburg,3,0,Wolfsburg
Wolfsburg,4,0,Arminia
Dortmund,6,1,Wolfsburg
Wolfsburg,5,0,Mainz 05
Stuttgart,1,1,Wolfsburg
Köln,0,1,Wolfsburg
Wolfsburg,2,2,Bayern
Mainz 05,1,0,Leipzig
Leipzig,4,0,Stuttgart
Leipzig,1,4,Bayern
Köln,1,1,Leipzig
Leipzig,6,0,Hertha BSC
Leipzig,3,0,Bochum
Freiburg,1,1,Leipzig
Leipzig,4,1,Greuther Fürth
Eint Frankfurt,1,1,Leipzig
Leipzig,2,1,Dortmund
Hoffenheim,2,0,Leipzig
Leipzig,1,3,Leverkusen
Union Berlin,2,1,Leipzig
Leipzig,4,1,M'Gladbach
Augsburg,1,1,Leipzig
Leipzig,0,2,Arminia
Leipzig,4,1,Mainz 05
Stuttgart,0,2,Leipzig
Bayern,3,2,Leipzig
Leipzig,3,1,Köln
Hertha BSC,1,6,Leipzig
Bochum,0,1,Leipzig
Leipzig,1,1,Freiburg
Greuther Fürth,1,6,Leipzig
Leipzig,0,0,Eint Frankfurt
Dortmund,1,4,Leipzig
Leipzig,3,0,Hoffenheim
Leverkusen,0,1,Leipzig
Leipzig,1,2,Union Berlin
M'Gladbach,3,1,Leipzig
Leipzig,4,0,Augsburg
Arminia,1,1,Leipzig
Dortmund,5,2,Eint Frankfurt
Freiburg,2,1,Dortmund
Dortmund,3,2,Hoffenheim
Leverkusen,3,4,Dortmund
Dortmund,4,2,Union Berlin
M'Gladbach,1,0,Dortmund
Dortmund,2,1,Augsburg
Dortmund,3,1,Mainz 05
Arminia,1,3,Dortmund
Dortmund,2,0,Köln
Dortmund,2,1,Stuttgart
Dortmund,2,3,Bayern
Bochum,1,1,Dortmund
Dortmund,3,0,Greuther Fürth
Hertha BSC,3,2,Dortmund
Eint Frankfurt,2,3,Dortmund
Dortmund,5,1,Freiburg
Hoffenheim,2,3,Dortmund
Dortmund,2,5,Leverkusen
Union Berlin,0,3,Dortmund
Dortmund,6,0,M'Gladbach
Augsburg,1,1,Dortmund
Dortmund,1,0,Arminia
Mainz 05,0,1,Dortmund
Köln,1,1,Dortmund
Stuttgart,0,2,Dortmund
Bayern,3,1,Dortmund
Dortmund,3,4,Bochum
Greuther Fürth,1,3,Dortmund
Dortmund,2,1,Hertha BSC
M'Gladbach,1,1,Bayern
Bayern,3,2,Köln
Bayern,5,0,Hertha BSC
Bayern,7,0,Bochum
Greuther Fürth,1,3,Bayern
Bayern,1,2,Eint Frankfurt
Leverkusen,1,5,Bayern
Bayern,4,0,Hoffenheim
Union Berlin,2,5,Bayern
Bayern,2,1,Freiburg
Augsburg,2,1,Bayern
Bayern,1,0,Arminia
Bayern,2,1,Mainz 05
Stuttgart,0,5,Bayern
Bayern,1,2,M'Gladbach
Köln,0,4,Bayern
Hertha BSC,1,4,Bayern
Bochum,4,2,Bayern
Bayern,4,1,Greuther Fürth
Eint Frankfurt,0,1,Bayern
Bayern,1,1,Leverkusen
Hoffenheim,1,1,Bayern
Bayern,4,0,Union Berlin
Freiburg,1,4,Bayern
Bayern,1,0,Augsburg
Arminia,0,3,Bayern
Mainz 05,3,1,Bayern
Bayern,2,2,Stuttgart
