Local,GolesLocal,GolesVisitante,Visitante
Sturm Graz,1,3,Salzburg
Salzburg,7,1,Ried
Salzburg,1,0,Austria Wien
Admira,0,1,Salzburg
Salzburg,3,1,SK Austria Klagenfurt
Hartberg,0,1,Salzburg
WSG Tirol,1,3,Salzburg
Salzburg,2,0,Rapid Wien
Wolfsberger AC,0,2,Salzburg
Salzburg,3,1,LASK
SCR Altach,1,1,Salzburg
Salzburg,4,1,Sturm Graz
Ried,2,2,Salzburg
Austria Wien,0,1,Salzburg
Salzburg,0,0,Admira
SK Austria Klagenfurt,2,1,Salzburg
Salzburg,2,1,Hartberg
Salzburg,5,0,WSG Tirol
Rapid Wien,1,2,Salzburg
Salzburg,2,0,Wolfsberger AC
LASK,0,0,Salzburg
Salzburg,4,0,SCR Altach
