Local,GolesLocal,GolesVisitante,Visitante
Club Brugges,2,2,Eupen
Union SG,0,1,Club Brugges
Club Brugges,1,1,Cercle Brugge
Zulte Waregem,0,4,Club Brugges
Club Brugges,3,2,Beerschot
Gent,6,1,Club Brugges
Club Brugges,3,0,Oostende
Charleroi,0,1,Club Brugges
Club Brugges,1,1,OH Leuven
Anderlecht,1,1,Club Brugges
Club Brugges,2,0,Kortrijk
Antwerp,1,1,Club Brugges
Sint-Truiden,1,2,Club Brugges
Club Brugges,2,2,Standard Liège
Mechelen,2,1,Club Brugges
Genk,2,3,Club Brugges
Club Brugges,3,2,R.F.C. Seraing
Club Brugges,3,0,Zulte Waregem
OH Leuven,1,4,Club Brugges
Club Brugges,2,2,Anderlecht
Cercle Brugge,2,0,Club Brugges
Club Brugges,2,0,Sint-Truiden
Standard Liège,2,2,Club Brugges
Club Brugges,0,0,Union SG
Kortrijk,0,1,Club Brugges
Club Brugges,1,2,Gent
Club Brugges,2,0,Charleroi
Eupen,1,3,Club Brugges
Club Brugges,4,1,Antwerp
R.F.C. Seraing,0,5,Club Brugges
Oostende,1,3,Club Brugges
Club Brugges,3,1,Genk
Beerschot,1,3,Club Brugges
Club Brugges,2,0,Mechelen
