Local,GolesLocal,GolesVisitante,Visitante
Ajax,5,0,NEC Nijmegen
Twente,1,1,Ajax
Ajax,5,0,Vitesse
Zwolle,0,2,Ajax
Ajax,9,0,Cambuur
Fortuna Sittard,0,0,Ajax
Ajax,3,0,Groningen
Ajax,0,1,Utrecht
Heerenveen,0,0,Ajax
Ajax,5,0,PSV Eindhoven
Heracles Almelo,0,0,Ajax
Ajax,0,0,Go Ahead Eag
RKC Waalwijk,0,0,Ajax
Sparta R'dam,0,0,Ajax
Ajax,5,0,Willem II
Ajax,1,2,AZ Alkmaar
Feyenoord,0,0,Ajax
Ajax,5,0,Fortuna Sittard
Utrecht,0,0,Ajax
PSV Eindhoven,1,1,Ajax
Ajax,3,0,Heracles Almelo
Ajax,5,0,Twente
Willem II,0,0,Ajax
Go Ahead Eag,2,2,Ajax
Ajax,3,2,RKC Waalwijk
Cambuur,2,2,Ajax
Ajax,3,2,Feyenoord
Groningen,1,1,Ajax
Ajax,2,1,Sparta R'dam
NEC Nijmegen,0,0,Ajax
Ajax,3,0,Zwolle
AZ Alkmaar,2,2,Ajax
Ajax,5,0,Heerenveen
Vitesse,2,2,Ajax
