Local,GolesLocal,GolesVisitante,Visitante
Tottenham,1,0,Man. City
Man. City,5,0,Norwich City
Man. City,5,0,Arsenal
Leicester City,0,1,Man. City
Man. City,0,0,Southampton
Chelsea,0,1,Man. City
Liverpool,2,2,Man. City
Man. City,2,0,Burnley
Brighton,1,4,Man. City
Man. City,0,2,Crystal Palace
Manchester Utd,0,2,Man. City
Man. City,3,0,Everton
Man. City,2,1,West Ham
Aston Villa,1,2,Man. City
Watford,1,3,Man. City
Man. City,1,0,Wolves
Man. City,7,0,Leeds United
Newcastle Utd,0,4,Man. City
Man. City,6,3,Leicester City
Brentford,0,1,Man. City
Arsenal,1,2,Man. City
Man. City,1,0,Chelsea
Southampton,1,1,Man. City
Man. City,2,0,Brentford
Norwich City,0,4,Man. City
Man. City,2,3,Tottenham
Everton,0,1,Man. City
Man. City,4,1,Manchester Utd
Crystal Palace,0,0,Man. City
Burnley,0,2,Man. City
Man. City,2,2,Liverpool
Man. City,3,0,Brighton
Man. City,5,1,Watford
Leeds United,0,4,Man. City
Man. City,5,0,Newcastle Utd
Wolves,1,5,Man. City
West Ham,2,2,Man. City
Man. City,3,2,Aston Villa
Man. United,5,1,Leeds United
Southampton,1,1,Man. United
Wolves,0,1,Man. United
Man. United,4,1,Newcastle Utd
West Ham,1,2,Man. United
Man. United,0,1,Aston Villa
Man. United,1,1,Everton
Leicester City,4,2,Man. United
Man. United,0,5,Liverpool
Tottenham,0,3,Man. United
Watford,4,1,Man. United
Chelsea,1,1,Man. United
Man. United,3,2,Arsenal
Man. United,1,0,Crystal Palace
Norwich City,0,1,Man. United
Newcastle Utd,1,1,Man. United
Man. United,3,1,Burnley
Man. United,0,1,Wolves
Aston Villa,2,2,Man. United
Brentford,1,3,Man. United
Man. United,1,0,West Ham
Burnley,1,1,Man. United
Man. United,1,1,Southampton
Man. United,2,0,Brighton
Leeds United,2,4,Man. United
Man. United,0,0,Watford
Man. United,3,2,Tottenham
Man. United,1,1,Leicester City
Everton,1,0,Man. United
Man. United,3,2,Norwich City
Liverpool,4,0,Man. United
Arsenal,3,1,Man. United
Man. United,1,1,Chelsea
Man. United,3,0,Brentford
Brighton,4,0,Man. United
Crystal Palace,1,0,Man. United
Norwich City,0,3,Liverpool
Liverpool,2,0,Burnley
Liverpool,1,1,Chelsea
Leeds United,0,3,Liverpool
Liverpool,3,0,Crystal Palace
Brentford,3,3,Liverpool
Watford,0,5,Liverpool
Liverpool,2,2,Brighton
West Ham,3,2,Liverpool
Liverpool,4,0,Arsenal
Liverpool,4,0,Southampton
Everton,1,4,Liverpool
Wolves,0,1,Liverpool
Liverpool,1,0,Aston Villa
Liverpool,3,1,Newcastle Utd
Tottenham,2,2,Liverpool
Leicester City,1,0,Liverpool
Chelsea,2,2,Liverpool
Liverpool,3,0,Brentford
Crystal Palace,1,3,Liverpool
Liverpool,2,0,Leicester City
Burnley,0,1,Liverpool
Liverpool,3,1,Norwich City
Liverpool,6,0,Leeds United
Liverpool,1,0,West Ham
Brighton,0,2,Liverpool
Arsenal,0,2,Liverpool
Liverpool,2,0,Watford
Liverpool,2,0,Everton
Newcastle Utd,0,1,Liverpool
Liverpool,1,1,Tottenham
Aston Villa,1,2,Liverpool
Southampton,1,2,Liverpool
Liverpool,3,1,Wolves
Chelsea,3,0,Crystal Palace
Arsenal,0,2,Chelsea
Chelsea,3,0,Aston Villa
Tottenham,0,3,Chelsea
Chelsea,3,1,Southampton
Brentford,0,1,Chelsea
Chelsea,7,0,Norwich City
Newcastle Utd,0,3,Chelsea
Chelsea,1,1,Burnley
Leicester City,0,3,Chelsea
Watford,1,2,Chelsea
West Ham,3,2,Chelsea
Chelsea,3,2,Leeds United
Chelsea,1,1,Everton
Wolves,0,0,Chelsea
Aston Villa,1,3,Chelsea
Chelsea,1,1,Brighton
Brighton,1,1,Chelsea
Chelsea,2,0,Tottenham
Crystal Palace,0,1,Chelsea
Burnley,0,4,Chelsea
Norwich City,1,3,Chelsea
Chelsea,1,0,Newcastle Utd
Chelsea,1,4,Brentford
Southampton,0,6,Chelsea
Chelsea,2,4,Arsenal
Chelsea,1,0,West Ham
Everton,1,0,Chelsea
Chelsea,2,2,Wolves
Leeds United,0,3,Chelsea
Chelsea,1,1,Leicester City
Chelsea,2,1,Watford
