Local,GolesLocal,GolesVisitante,Visitante
Sampdoria,0,1,Milan
Milan,4,1,Cagliari
Milan,2,0,Lazio
Juventus,1,1,Milan
Milan,2,0,Venezia
Spezia,1,2,Milan
Atalanta,2,3,Milan
Milan,3,2,Hellas Verona
Bologna,2,4,Milan
Milan,1,0,Torino
Roma,1,2,Milan
Milan,1,1,Inter
Fiorentina,4,3,Milan
Milan,1,3,Sassuolo
Genoa,0,3,Milan
Milan,2,0,Salernitana
Udinese,1,1,Milan
Milan,0,1,Napoli
Empoli,2,4,Milan
Milan,3,1,Roma
Venezia,0,3,Milan
Milan,1,2,Spezia
Milan,0,0,Juventus
Inter,1,2,Milan
Milan,1,0,Sampdoria
Salernitana,2,2,Milan
Milan,1,1,Udinese
Napoli,0,1,Milan
Milan,1,0,Empoli
Cagliari,0,1,Milan
Milan,0,0,Bologna
Torino,0,0,Milan
Milan,2,0,Genoa
Lazio,1,2,Milan
Milan,1,0,Fiorentina
Hellas Verona,1,3,Milan
Milan,2,0,Atalanta
Sassuolo,0,3,Milan
Udinese,2,2,Juventus
Juventus,0,1,Empoli
Napoli,2,1,Juventus
Spezia,2,3,Juventus
Juventus,3,2,Sampdoria
Torino,0,1,Juventus
Juventus,1,0,Roma
Inter,1,1,Juventus
Juventus,1,2,Sassuolo
Hellas Verona,2,1,Juventus
Juventus,1,0,Fiorentina
Lazio,0,2,Juventus
Juventus,0,1,Atalanta
Salernitana,0,2,Juventus
Juventus,2,0,Genoa
Venezia,1,1,Juventus
Bologna,0,2,Juventus
Juventus,2,0,Cagliari
Juventus,1,1,Napoli
Roma,3,4,Juventus
Juventus,2,0,Udinese
Juventus,2,0,Hellas Verona
Atalanta,1,1,Juventus
Juventus,1,1,Torino
Empoli,2,3,Juventus
Juventus,1,0,Spezia
Sampdoria,1,3,Juventus
Juventus,2,0,Salernitana
Juventus,0,1,Inter
Cagliari,1,2,Juventus
Juventus,1,1,Bologna
Sassuolo,1,2,Juventus
Juventus,2,1,Venezia
Genoa,2,1,Juventus
Juventus,2,2,Lazio
Fiorentina,2,0,Juventus
Internazionale,4,0,Genoa
Hellas Verona,1,3,Internazionale
Sampdoria,2,2,Internazionale
Internazionale,6,1,Bologna
Fiorentina,1,3,Internazionale
Internazionale,2,2,Atalanta
Sassuolo,1,2,Internazionale
Lazio,3,1,Internazionale
Empoli,0,2,Internazionale
Internazionale,2,0,Udinese
Internazionale,3,2,Napoli
Venezia,0,2,Internazionale
Internazionale,2,0,Spezia
Roma,0,3,Internazionale
Internazionale,4,0,Cagliari
Salernitana,0,5,Internazionale
Internazionale,1,0,Torino
Internazionale,2,1,Lazio
Atalanta,0,0,Internazionale
Internazionale,2,1,Venezia
Napoli,1,1,Internazionale
Internazionale,0,2,Sassuolo
Genoa,0,0,Internazionale
Internazionale,5,0,Salernitana
Torino,1,1,Internazionale
Internazionale,1,1,Fiorentina
Internazionale,2,0,Hellas Verona
Spezia,1,3,Internazionale
Internazionale,3,1,Roma
Bologna,2,1,Internazionale
Udinese,1,2,Internazionale
Internazionale,4,2,Empoli
Cagliari,1,3,Internazionale
Internazionale,3,0,Sampdoria
Torino,1,2,Atalanta
Atalanta,0,0,Bologna
Atalanta,1,2,Fiorentina
Salernitana,0,1,Atalanta
Atalanta,2,1,Sassuolo
Empoli,1,4,Atalanta
Atalanta,1,1,Udinese
Sampdoria,1,3,Atalanta
Atalanta,2,2,Lazio
Cagliari,1,2,Atalanta
Atalanta,5,2,Spezia
Atalanta,4,0,Venezia
Napoli,2,3,Atalanta
Hellas Verona,1,2,Atalanta
Atalanta,1,4,Roma
Genoa,0,0,Atalanta
Udinese,2,6,Atalanta
Lazio,0,0,Atalanta
Atalanta,1,2,Cagliari
Fiorentina,1,0,Atalanta
Atalanta,4,0,Sampdoria
Roma,1,0,Atalanta
Atalanta,0,0,Genoa
Bologna,0,1,Atalanta
Atalanta,1,3,Napoli
Sassuolo,2,1,Atalanta
Atalanta,1,2,Hellas Verona
Venezia,1,3,Atalanta
Atalanta,4,4,Torino
Atalanta,1,1,Salernitana
Spezia,1,3,Atalanta
Atalanta,0,1,Empoli
