Local,GolesLocal,GolesVisitante,Visitante
FC Khimki,1,3,Zenit
Rostov,2,4,Zenit
Zenit,3,2,Krasnodar
Loko Moscow,1,1,Zenit
Ufa,1,1,Zenit
Zenit,1,0,CSKA Moscow
Zenit,3,1,Akhmat Grozny
Rubin Kazan,1,3,Zenit
Zenit,2,1,Samara
Zenit,1,2,Sochi
Arsenal Tula,2,1,Zenit
Zenit,7,1,Spartak Moscow
Zenit,4,1,Dynamo Mosc
Ural,0,0,Zenit
Zenit,5,1,Nizhny Novgorod
CSKA Moscow,0,2,Zenit
Zenit,2,2,Rostov
Dynamo Mosc,1,1,Zenit
Zenit,3,2,Rubin Kazan
Zenit,2,0,Ufa
Samara,1,1,Zenit
Zenit,3,0,Arsenal Tula
Sochi,0,0,Zenit
Akhmat Grozny,0,2,Zenit
Zenit,3,1,Ural
Krasnodar,1,3,Zenit
Zenit,3,1,Loko Moscow
Zenit,1,0,FC Khimki
Spartak Moscow,1,1,Zenit
Nizhny Novgorod,1,0,Zenit
