Local,GolesLocal,GolesVisitante,Visitante
Malmö,3,2,Hammarby
Häcken,1,2,Malmö
Malmö,1,1,Östersund
Djurgården,3,1,Malmö
Malmö,3,2,Varberg
AIK Stockholm,1,1,Malmö
Malmö,3,1,Kalmar
Malmö,2,1,Elfsborg
Örebro,1,2,Malmö
Norrköping,3,2,Malmö
Malmö,4,0,Sirius
Degerfors,0,5,Malmö
Mjällby,0,2,Malmö
Halmstad,0,0,Malmö
Malmö,2,3,Göteborg
Malmö,3,0,Degerfors
Hammarby,2,1,Malmö
Malmö,1,1,Norrköping
Malmö,1,1,Djurgården
Elfsborg,0,1,Malmö
Malmö,5,1,Örebro
Malmö,0,1,Mjällby
Östersund,0,3,Malmö
Varberg,1,1,Malmö
Malmö,1,0,AIK Stockholm
Sirius,2,3,Malmö
Göteborg,0,2,Malmö
Malmö,2,2,Häcken
Kalmar,0,1,Malmö
Malmö,0,0,Halmstad
