Local,GolesLocal,GolesVisitante,Visitante
Luzern,4,4,Young Boys
Young Boys,0,0,Grasshopper
Sion,0,0,Young Boys
Basel,1,1,Young Boys
Young Boys,4,0,Zürich
Lausanne-Sport,6,6,Young Boys
Young Boys,2,1,St. Gallen
Servette FC,6,6,Young Boys
Young Boys,1,1,Luzern
Young Boys,3,2,Lausanne-Sport
St. Gallen,1,1,Young Boys
Grasshopper,1,1,Young Boys
Zürich,0,0,Young Boys
Young Boys,3,1,Lugano
Young Boys,1,2,Servette FC
Young Boys,4,3,Sion
Young Boys,1,1,Basel
Lugano,5,5,Young Boys
Young Boys,1,0,Lugano
St. Gallen,3,3,Young Boys
Young Boys,3,1,Basel
Grasshopper,2,2,Young Boys
Young Boys,3,1,Sion
Servette FC,0,0,Young Boys
Young Boys,2,2,Luzern
Lausanne-Sport,2,2,Young Boys
Young Boys,1,2,Zürich
Basel,2,2,Young Boys
Young Boys,2,2,Lausanne-Sport
Zürich,1,1,Young Boys
Young Boys,3,1,Servette FC
Sion,2,2,Young Boys
Lugano,1,1,Young Boys
Young Boys,4,1,St. Gallen
Luzern,2,2,Young Boys
Young Boys,3,0,Grasshopper
