Local,GolesLocal,GolesVisitante,Visitante
Beşiktaş,3,3,Adana Demirspor
Beşiktaş,4,1,Alanyaspor
Beşiktaş,1,0,Altay
Beşiktaş,0,0,Antalyaspor
Beşiktaş,3,0,Rizespor
Beşiktaş,1,0,Fatih Karagümrük
Beşiktaş,1,1,Fenerbahçe
Beşiktaş,2,1,Galatasaray
Beşiktaş,1,0,Gaziantep
Beşiktaş,0,4,Giresunspor
Beşiktaş,2,1,Göztepe
Beşiktaş,1,1,Hatayspor
Beşiktaş,2,2,Estambul Başakşehir
Beşiktaş,0,3,Kasımpaşa
Beşiktaş,4,2,Kayserispor
Beşiktaş,1,1,Konyaspor
Beşiktaş,2,1,Sivasspor
Beşiktaş,1,2,Trabzonspor
Beşiktaş,3,0,Yeni Malatyaspor
Adana Demirspor,1,1,Beşiktaş
Alanyaspor,2,0,Beşiktaş
Altay,2,1,Beşiktaş
Antalyaspor,2,3,Beşiktaş
Rizespor,2,2,Beşiktaş
Fatih Karagümrük,0,1,Beşiktaş
Fenerbahçe,2,2,Beşiktaş
Galatasaray,2,1,Beşiktaş
Gaziantep,0,0,Beşiktaş
Giresunspor,0,0,Beşiktaş
Göztepe,0,2,Beşiktaş
Hatayspor,1,0,Beşiktaş
Estambul Başakşehir,3,2,Beşiktaş
Kasımpaşa,1,1,Beşiktaş
Kayserispor,2,3,Beşiktaş
Konyaspor,1,0,Beşiktaş
Sivasspor,2,3,Beşiktaş
Trabzonspor,1,1,Beşiktaş
Yeni Malatyaspor,1,3,Beşiktaş
