Local,GolesLocal,GolesVisitante,Visitante
Bayern,4,0,Atletico
Atletico,4,0,Bayern
Real Madrid,2,3,Shakhtar Donetsk
Real Madrid,3,2,Milan
Shakhtar Donetsk,2,3,Real Madrid
Shakhtar Donetsk,3,2,Milan
Milan,2,3,Real Madrid
Milan,3,2,Shakhtar Donetsk
Liverpool,1,0,Ajax
Liverpool,0,2,Atalanta
Ajax,1,0,Liverpool
Ajax,0,2,Atalanta
Atalanta,1,0,Liverpool
Atalanta,0,2,Ajax
Sevilla,0,4,Chelsea
Chelsea,0,4,Sevilla
Zenit,1,2,Dortmund
Dortmund,1,2,Zenit
Juventus,0,2,Barcelona
Barcelona,0,2,Juventus
Paris,1,2,Man. United
Paris,1,0,Leipzig
Man. United,1,2,Paris
Man. United,1,0,Leipzig
Leipzig,1,2,Paris
Leipzig,1,0,Man. United
Paris,3,0,Real Madrid
Real Madrid,3,0,Paris
Man. City,5,1,Atalanta
Man. City,1,1,Shakhtar Donetsk
Atalanta,5,1,Man. City
Atalanta,1,1,Shakhtar Donetsk
Shakhtar Donetsk,5,1,Man. City
Shakhtar Donetsk,1,1,Atalanta
Juventus,1,0,Atletico
Atletico,1,0,Juventus
Barcelona,3,1,Dortmund
Barcelona,2,1,Milan
Dortmund,3,1,Barcelona
Dortmund,2,1,Milan
Milan,3,1,Barcelona
Milan,2,1,Dortmund
Leipzig,2,2,Benfica
Leipzig,2,1,Zenit
Benfica,0,2,Leipzig
Benfica,2,1,Zenit
Zenit,0,2,Leipzig
Zenit,2,1,Benfica
Chelsea,0,3,Ajax
Chelsea,4,1,LOSC
Ajax,0,3,Chelsea
Ajax,4,1,LOSC
LOSC,0,3,Chelsea
LOSC,4,1,Ajax
Atletico,2,0,Dortmund
Dortmund,2,0,Atletico
Barcelona,2,0,Milan
Milan,1,1,Barcelona
Paris,2,1,Liverpool
Liverpool,2,2,Paris
Bayern,5,1,Benfica
Bayern,1,1,Ajax
Benfica,5,1,Bayern
Benfica,1,1,Ajax
Ajax,5,1,Bayern
Ajax,1,1,Benfica
Man. City,6,0,Shakhtar Donetsk
Shakhtar Donetsk,6,0,Man. City
Juventus,1,2,Man. United
Juventus,3,0,Young Boys
Man. United,1,2,Juventus
Man. United,3,0,Young Boys
Young Boys,1,2,Juventus
Young Boys,1,0,Man. United
Benfica,0,1,Man. United
Man. United,0,1,Benfica
Bayern,3,1,Paris
Paris,3,1,Bayern
Chelsea,1,1,Atletico
Atletico,1,1,Chelsea
Juventus,0,0,Barcelona
Juventus,2,1,Sporting CP
Barcelona,0,0,Juventus
Barcelona,2,1,Sporting CP
Sporting CP,0,0,Juventus
Sporting CP,2,0,Barcelona
Sevilla,1,1,Liverpool
Liverpool,1,1,Sevilla
Shakhtar Donetsk,2,1,Man. City
Man. City,2,1,Shakhtar Donetsk
Porto,1,2,Besiktas
Porto,1,4,Leipzig
Besiktas,1,2,Porto
Besiktas,1,4,Leipzig
Leipzig,1,2,Porto
Leipzig,1,4,Besiktas
Real Madrid,3,2,Dortmund
Dortmund,3,2,Real Madrid
Paris,2,0,Malmö
Real Madrid,4,0,Shakhtar Donetsk
Shakhtar Donetsk,0,3,Paris
Malmö,0,2,Real Madrid
Paris,0,0,Real Madrid
Malmö,1,0,Shakhtar Donetsk
Shakhtar Donetsk,4,0,Malmö
Real Madrid,1,0,Paris
Malmö,0,5,Paris
Shakhtar Donetsk,3,4,Real Madrid
Paris,2,0,Shakhtar Donetsk
Real Madrid,8,0,Malmö
Man. United,2,1,Wolfsburg
Wolfsburg,3,2,Man. United
Atletico,1,2,Benfica
Benfica,1,2,Atletico
Man. City,1,2,Juventus
Juventus,2,0,Sevilla
Man. City,2,1,Sevilla
Sevilla,1,3,Man. City
Juventus,1,0,Man. City
Sevilla,1,0,Juventus
Dynamo Kyiv,2,2,Porto
Porto,2,1,Chelsea
Dynamo Kyiv,0,0,Chelsea
Chelsea,2,1,Dynamo Kyiv
Porto,0,2,Dynamo Kyiv
Chelsea,2,0,Porto
Juventus,2,0,Malmö
Atletico,1,0,Juventus
Atletico,5,0,Malmö
Malmö,0,2,Atletico
Malmö,0,2,Juventus
Juventus,0,0,Atletico
Liverpool,0,3,Real Madrid
Real Madrid,1,0,Liverpool
Benfica,0,2,Zenit
Zenit,1,0,Benfica
Bayern,1,0,Man. City
Man. City,3,2,Bayern
Ajax,1,1,Paris
Paris,3,2,Barcelona
Barcelona,3,1,Ajax
Ajax,0,2,Barcelona
Paris,3,1,Ajax
Barcelona,3,1,Paris
Sporting CP,0,1,Chelsea
Chelsea,3,1,Sporting CP
Shakhtar Donetsk,2,2,Porto
Porto,1,1,Shakhtar Donetsk
Man. United,1,0,Shakhtar Donetsk
Real Madrid,2,1,Juventus
Juventus,2,2,Real Madrid
Zenit,1,1,Porto
Barcelona,4,0,Ajax
Ajax,1,1,Milan
Milan,1,1,Barcelona
Barcelona,3,1,Milan
Ajax,2,1,Barcelona
Milan,0,0,Ajax
Zenit,2,3,Milan
Ajax,1,4,Real Madrid
Dortmund,2,1,Real Madrid
Man. City,1,1,Real Madrid
Real Madrid,4,1,Ajax
Chelsea,2,2,Juventus
Juventus,1,1,Shakhtar Donetsk
Shakhtar Donetsk,2,1,Chelsea
Chelsea,3,2,Shakhtar Donetsk
Juventus,3,0,Chelsea
Shakhtar Donetsk,0,1,Juventus
Benfica,0,2,Barcelona
Barcelona,0,0,Benfica
Man. City,2,1,Villarreal
Bayern,3,1,Villarreal
LOSC,0,1,Internazionale
Man. United,2,2,Benfica
Porto,2,1,Shakhtar Donetsk
Zenit,3,1,Porto
Zenit,1,0,Shakhtar Donetsk
Shakhtar Donetsk,0,2,Porto
Barcelona,2,2,Milan
Milan,2,3,Barcelona
